source_csv,error_message,calculation_time,homo,lumo,gap,drug_likeness,logP,smiles,type,predicted_value,group_id,improvement,morgan_similarity_to_start,ged_to_start,ged_similarity_to_start
CC(C)C#CC#N_e88cffc9_topK.csv,,13.33727765083313,-8.054055029033876,-0.6801974759414836,7.373857553092392,0.4122491230800964,1.1693799999999999,CC(C)C#CC#N,start,-7.689937114715576,CC(C)C#CC#N_e88cffc9_topK.csv,,1.0,0.0,1.0
CC(C)C#CC#N_e88cffc9_topK.csv,,11.507542133331299,-8.017014703496507,-1.1660026985550505,6.851012004941455,0.4266087972414053,-0.10582000000000008,CC(O)C#CC#N,optimized_1,-8.152758002281189,CC(C)C#CC#N_e88cffc9_topK.csv,0.0370403255373688,0.5789473684210527,1.0,0.5
CC(C)C#CC#N_e88cffc9_topK.csv,,12.271176815032959,-8.249733742002965,-2.3070132318591305,5.942720510143834,0.47105576495280344,0.80298,CC(C#CC#N)OF,optimized_2,-8.411054968833923,CC(C)C#CC#N_e88cffc9_topK.csv,-0.19567871296908912,0.5,3.0,0.25
CC(C)C#CC#N_e88cffc9_topK.csv,,9.961757183074951,-9.21277453292368,-2.888597843279434,6.324176689644245,0.4736045588199945,0.71008,N#CC#CC(F)OF,optimized_3,-9.904688954353333,CC(C)C#CC#N_e88cffc9_topK.csv,-1.1587195038898042,0.391304347826087,4.0,0.2
CC(C)C#CC#N_e88cffc9_topK.csv,,10.81187129020691,-8.350532684769549,-3.5052880331794145,4.845244651590135,0.21717125689308714,0.47348,N#CC#CN(F)OF,optimized_4,-11.60699224472046,CC(C)C#CC#N_e88cffc9_topK.csv,-0.2964776557356732,0.23076923076923078,5.0,0.16666666666666666
CC(C)C#CC#N_e88cffc9_topK.csv,,10.95885682106018,-8.350532684769297,-3.5052880331791765,4.84524465159012,0.21717125689308714,0.47348,N#C[C@@]#CN(F)OF,optimized_5,-12.505421876907349,CC(C)C#CC#N_e88cffc9_topK.csv,-0.29647765573542095,0.23076923076923078,5.0,0.16666666666666666
CC(C)C#CC#N_e88cffc9_topK.csv,,10.95885682106018,-8.350532684769297,-3.5052880331791765,4.84524465159012,0.21717125689308714,0.47348,N#C[C@@]#CN(F)OF,optimized_6,-13.403851509094238,CC(C)C#CC#N_e88cffc9_topK.csv,-0.29647765573542095,0.23076923076923078,5.0,0.16666666666666666
CC(C)C#CC#N_e88cffc9_topK.csv,,10.95885682106018,-8.350532684769297,-3.5052880331791765,4.84524465159012,0.21717125689308714,0.47348,N#C[C@@]#CN(F)OF,optimized_7,-14.302281141281128,CC(C)C#CC#N_e88cffc9_topK.csv,-0.29647765573542095,0.23076923076923078,5.0,0.16666666666666666
CC(C)C#CC#N_e88cffc9_topK.csv,,10.95885682106018,-8.350532684769297,-3.5052880331791765,4.84524465159012,0.21717125689308714,0.47348,N#C[C@@]#CN(F)OF,optimized_8,-15.200710773468018,CC(C)C#CC#N_e88cffc9_topK.csv,-0.29647765573542095,0.23076923076923078,5.0,0.16666666666666666
CC(C)C#CC#N_e88cffc9_topK.csv,,10.95885682106018,-8.350532684769297,-3.5052880331791765,4.84524465159012,0.21717125689308714,0.47348,N#C[C@@]#CN(F)OF,optimized_9,-16.099140405654907,CC(C)C#CC#N_e88cffc9_topK.csv,-0.29647765573542095,0.23076923076923078,5.0,0.16666666666666666
CC(C)C#CC#N_e88cffc9_topK.csv,,10.95885682106018,-8.350532684769297,-3.5052880331791765,4.84524465159012,0.21717125689308714,0.47348,N#C[C@@]#CN(F)OF,optimized_10,-16.997570037841797,CC(C)C#CC#N_e88cffc9_topK.csv,-0.29647765573542095,0.23076923076923078,5.0,0.16666666666666666
CC(O)(C=O)C=O_e39fabc2_topK.csv,,12.733070373535156,-7.241994209555875,-1.8163413954268648,5.42565281412901,0.3641616886333653,-0.8648000000000002,CC(O)(C=O)C=O,start,-7.1184983253479,CC(O)(C=O)C=O_e39fabc2_topK.csv,,1.0,0.0,1.0
