source_csv,error_message,calculation_time,homo,lumo,gap,drug_likeness,logP,smiles,type,predicted_value,group_id,improvement,morgan_similarity_to_start,ged_to_start,ged_similarity_to_start
CC(O)(C=O)C=O_cd183dac_topK.csv,,5.350768327713013,-7.241994209555945,-1.8163413954267953,5.42565281412915,0.3641616886333653,-0.8648000000000002,CC(O)(C=O)C=O,start,-7.1184983253479,CC(O)(C=O)C=O_cd183dac_topK.csv,,1.0,0.0,1.0
CC(O)(C=O)C=O_cd183dac_topK.csv,,6.40903902053833,-7.772868454409012,-2.1016925281648278,5.671175926244183,0.30145527397136923,-0.5676000000000001,CC(O)(C=O)C(=O)F,optimized_1,-7.282595366239548,CC(O)(C=O)C=O_cd183dac_topK.csv,-0.5308742448530666,0.47368421052631576,2.0,0.3333333333333333
CC(O)(C=O)C=O_cd183dac_topK.csv,,3.4037346839904785,-7.840349552219107,-3.61207137645811,4.228278175760996,0.29572818822298774,-0.7452000000000001,O=C1CC12OC2=O,optimized_2,-8.100124234333634,CC(O)(C=O)C=O_cd183dac_topK.csv,-0.5983553426631616,0.041666666666666664,7.0,0.125
CC(O)(C=O)C=O_cd183dac_topK.csv,,5.51357889175415,-7.866075511120604,-2.2735380568901937,5.59253745423041,0.2533404098529274,-0.4992000000000001,CC1(C=O)OC1=O,optimized_3,-8.115725338459015,CC(O)(C=O)C=O_cd183dac_topK.csv,-0.6240813015646589,0.17391304347826086,4.0,0.2
CC(O)(C=O)C=O_cd183dac_topK.csv,,3.0637731552124023,-9.155806470157346,-4.251029120850986,4.90477734930636,0.28302272485656144,-1.2037,O=C1OC12OC2=O,optimized_4,-10.157951707020402,CC(O)(C=O)C=O_cd183dac_topK.csv,-1.913812260601401,0.05,7.0,0.125
CC(O)(C=O)C=O_cd183dac_topK.csv,,2.8433148860931396,-9.155806470157552,-4.251029120851383,4.90477734930617,0.28302272485656144,-1.2037,O=C1OC12OC2=[O@],optimized_5,-11.049071604385972,CC(O)(C=O)C=O_cd183dac_topK.csv,-1.913812260601607,0.05,7.0,0.125
CC(O)(C=O)C=O_cd183dac_topK.csv,,3.6346678733825684,-8.07821871767967,-1.348094852974119,6.7301238647055515,0.33264281907050197,-0.9577,O=COC1OC1=O,optimized_6,-11.78759908117354,CC(O)(C=O)C=O_cd183dac_topK.csv,-0.836224508123725,0.12,7.0,0.125
CC(O)(C=O)C=O_cd183dac_topK.csv,,3.2401280403137207,-7.303870667942828,-1.792544818014181,5.511325849928647,0.3469475744974227,-0.5584,O=CON1OC1=O,optimized_7,-13.63010990060866,CC(O)(C=O)C=O_cd183dac_topK.csv,-0.06187645838688294,0.17391304347826086,7.0,0.125
Nc1ncn[nH]1_933550d4_topK.csv,,3.1840078830718994,-6.0810461602230514,0.6488211242544905,6.7298672844775425,0.4401655824084768,-0.6131000000000002,Nc1ncn[nH]1,start,-6.171542167663574,Nc1ncn[nH]1_933550d4_topK.csv,,1.0,0.0,1.0
Nc1ncn[nH]1_933550d4_topK.csv,,3.847721576690674,-6.359797274258448,0.3787553483610817,6.7385526226195305,0.4647805566696384,-0.47400000000000014,Nc1nc(F)n[nH]1,optimized_1,-6.487748622894287,Nc1ncn[nH]1_933550d4_topK.csv,-0.2787511140353969,0.2692307692307692,3.0,0.25
