source_csv,error_message,calculation_time,homo,lumo,gap,drug_likeness,logP,smiles,type,predicted_value,group_id,improvement,morgan_similarity_to_start,ged_to_start,ged_similarity_to_start
CC(O)(C=O)C=O_2047cbab_topK.csv,,5.786391258239746,-7.24199420955595,-1.816341395426759,5.425652814129191,0.3641616886333653,-0.8648000000000002,CC(O)(C=O)C=O,start,-1.8748643398284912,CC(O)(C=O)C=O_2047cbab_topK.csv,,1.0,0.0,1.0
CC(O)(C=O)C=O_2047cbab_topK.csv,,8.768921613693237,-6.763674293376306,0.14903247414665352,6.91270676752296,0.5117289532628151,-0.34370000000000006,C=CC(C)(CO)C(N)=O,optimized_1,2.4923610389232635,CC(O)(C=O)C=O_2047cbab_topK.csv,-1.9653738695734126,0.23076923076923078,8.0,0.1111111111111111
CC(O)(C=O)C=O_2047cbab_topK.csv,,8.68296194076538,-6.738896341661527,0.13568802933784296,6.87458437099937,0.398927423042631,-2.0444,CC(CO)(C(N)=O)C(N)=O,optimized_2,2.245221883058548,CC(O)(C=O)C=O_2047cbab_topK.csv,-1.9520294247646022,0.22727272727272727,7.0,0.125
CC(O)(C=O)C=O_2047cbab_topK.csv,,6.223694086074829,-6.272000228968945,-0.4092332196757842,5.862767009293162,0.41541787528730884,1.73387,CC(C)(C=N)C=CO,optimized_3,1.650690674781799,CC(O)(C=O)C=O_2047cbab_topK.csv,-1.407108175750975,0.22727272727272727,9.0,0.1
CC(O)(C=O)C=O_2047cbab_topK.csv,,6.782940149307251,-5.4735235291910245,-0.19362849585570074,5.279895033335324,0.5168237384419495,1.13457,C=C(N)C(C)(C)C=N,optimized_4,1.6000860929489136,CC(O)(C=O)C=O_2047cbab_topK.csv,-1.6227128995710585,0.21739130434782608,9.0,0.1
CC(O)(C=O)C=O_2047cbab_topK.csv,,9.063050746917725,-5.521778445465527,0.5465938136463347,6.068372259111862,0.5479550734589999,-0.02969999999999995,C=C(N)C(C)(C)C(N)=O,optimized_5,1.5457236766815186,CC(O)(C=O)C=O_2047cbab_topK.csv,-2.3629352090730937,0.22727272727272727,8.0,0.1111111111111111
CC(O)(C=O)C=O_2047cbab_topK.csv,,5.472348928451538,-6.7454904275740395,-0.3489539206657693,6.396536506908269,0.40137987404275616,1.8481699999999999,C=CC(C)(C)C=N,optimized_6,1.5418982207775116,CC(O)(C=O)C=O_2047cbab_topK.csv,-1.4673874747609899,0.19047619047619047,7.0,0.125
CC(O)(C=O)C=O_2047cbab_topK.csv,,6.782940149307251,-5.4735235291910245,-0.19362849585570074,5.279895033335324,0.5168237384419495,1.13457,C=C(N)C(C)(C)C=N,optimized_7,1.5289572775363922,CC(O)(C=O)C=O_2047cbab_topK.csv,-1.6227128995710585,0.21739130434782608,9.0,0.1
CC(O)(C=O)C=O_2047cbab_topK.csv,,6.787124156951904,-5.521444218756876,-0.3525646670539396,5.168879551702937,0.4345585430800866,-0.17423000000000005,C=C(N)C(C)(N)C=N,optimized_8,1.5015130937099457,CC(O)(C=O)C=O_2047cbab_topK.csv,-1.4637767283728196,0.20833333333333334,9.0,0.1
CC(O)(C=O)C=O_2047cbab_topK.csv,,8.353327512741089,-5.256628647810853,0.5611410885023327,5.817769736313186,0.47703392877995116,-0.3178,C=C(N)C(C)(O)C(=C)N,optimized_9,1.4994497299194336,CC(O)(C=O)C=O_2047cbab_topK.csv,-2.377482483929092,0.2631578947368421,10.0,0.09090909090909091
