num_simulations,average_improvement,improved_percentage,average_drug_likeness,intdiv_avg,morgan_similarity_avg,batch_dir,target_prop,direction,source
200,-1.5795,94.14,0.3876,0.5085,0.1577,batch_optimization_20260413_162511,homo,decrease,part-2
400,-1.5593,93.26,0.3873,0.5140,0.1661,batch_optimization_20260413_162650,homo,decrease,part-2
800,-1.5211,93.25,0.3888,0.5519,0.1697,batch_optimization_20260413_162834,homo,decrease,part-2
