exploration_weight,average_improvement,improved_percentage,average_drug_likeness,intdiv_avg,morgan_similarity_avg,batch_dir,target_prop,direction,source
0.5,-3.3785,89.88,0.3893,0.4362,0.0919,batch_optimization_20260412_232639,lumo,decrease,part-1
1.0,-3.5700,89.19,0.3902,0.4372,0.0879,batch_optimization_20260412_222529,lumo,decrease,part-1
2.0,-3.9946,93.32,0.3895,0.2832,0.0781,batch_optimization_20260412_222658,lumo,decrease,part-1
3.0,-4.1629,93.06,0.3824,0.3208,0.0712,batch_optimization_20260412_222632,lumo,decrease,part-1
