group_id,start_value,best_opt_value,best_opt_smiles,improvement,morgan_similarity,ged,ged_similarity
CCCC(=O)NC_81745567_topK.csv,0.8838433341545787,-3.234778495690118,O=C1NOC2C=C12,-4.118621829844697,0.0606060606060606,10.0,0.0909090909090909
C#C[C@]1(C)CO1_3a4e3e46_topK.csv,0.684032062610427,-1.9564239102572147,N#CC1(F)OO1,-2.6404559728676418,0.12,3.0,0.25
COCC(C)(C)O_28c855e5_topK.csv,2.0490451961744203,-2.680945351246599,OC12C=C1C1=C2O1,-4.72999054742102,0.032258064516129,11.0,0.0833333333333333
CC#CCOC_87d4dbf2_topK.csv,1.1495979910280076,-4.284942685321114,C1#CC2=C1OO2,-5.434540676349121,0.0,11.0,0.0833333333333333
CCCCOC_2483cb48_topK.csv,2.2554515501719474,-2.537766864888324,C1=C(C2=NO2)C1,-4.793218415060271,0.0,10.0,0.0909090909090909
CC(C)CCC=O_cdb38646_topK.csv,-0.7043504288531011,-3.0570383769183835,O=CC1=CC2N=C12,-2.3526879480652827,0.0967741935483871,9.0,0.1
N#CC(=O)O[CH+][NH-]_6bba6d48_topK.csv,-3.017913642667093,-3.4718252707902084,N#CC(=O)C([CH+][NH-])OF,-0.4539116281231155,0.3793103448275862,5.0,0.1666666666666666
[NH-][CH+]OC(N)=O_f9155f98_topK.csv,-0.6831054909978896,-2.185167210846962,[NH-][CH+]OC(=O)N1NO1,-1.5020617198490722,0.375,1.0,0.5
C#CC(C)(C)CC_44ff6a8b_topK.csv,1.6384525988143663,-4.416238396459839,N#CC12C#CC1=C2,-6.054690995274205,0.064516129032258,10.0,0.0909090909090909
C#C[C@@H]1C[C@@H]1O_a3c4c698_topK.csv,1.396643161151189,-3.3265785141245687,N#C[C@H]C[C@H]OF,-4.723221675275758,0.0689655172413793,8.0,0.1111111111111111
C#CC#CCC_26f35b79_topK.csv,0.0405674801908258,-3.941493278698045,OC1(O)C#CC#C1,-3.982060758888871,0.0,9.0,0.1
C#CCCCC_2c865613_topK.csv,1.5152108155333757,-3.611279039510596,N#CC1=C2C=C12,-5.126489855043971,0.037037037037037,8.0,0.1111111111111111
CCCOCC_af422186_topK.csv,2.5197088849812213,-3.867090888438988,C1=C2C=C1OO2,-6.3867997734202095,0.0,11.0,0.0833333333333333
C[C@H]1CCOC1_a4406a64_topK.csv,2.255123424014825,-4.176758949940437,C1C2=N[C@@H]1OO2,-6.431882373955261,0.1071428571428571,3.0,0.25
CC[C@H]1C[C@H]1O_37c9f5d9_topK.csv,2.10075106896305,-3.14215077329002,FO[C@H]C1=CC[C@H]1,-5.242901842253071,0.0666666666666666,3.0,0.25
CC#CCCCO_e484d023_topK.csv,1.8180609532796292,-3.3495313790650525,OOC1=C2C#CC=C21,-5.167592332344682,0.0285714285714285,10.0,0.0909090909090909
CCO[C@@H](C)CO_832ae33d_topK.csv,1.8732563425495163,-4.585277687079094,CCON1C2=C1O2,-6.45853402962861,0.1785714285714285,7.0,0.125
C#CCCC#CC_5fda3d0a_topK.csv,1.3944581037544372,-4.401265642909709,N#CC1=CC#CO1,-5.795723746664146,0.0303030303030303,10.0,0.0909090909090909
CCC(=O)CCO_cb1e2e6f_topK.csv,-0.4406638138966106,-3.067307032847465,O=C1CC2=C1OO2,-2.6266432189508544,0.0689655172413793,10.0,0.0909090909090909
C#CCOCC_fc535cd8_topK.csv,0.9425762217979368,-4.774499277625698,N#CC1=C(F)O1,-5.717075499423634,0.0357142857142857,7.0,0.125
COCC(C)C_bd97c197_topK.csv,2.246602292885359,-3.062825716765172,C1=NOC2=CC12,-5.309428009650531,0.0,11.0,0.0833333333333333
CCCCOCC_a269de94_topK.csv,2.404370040061081,-3.422145087602933,CCON1C2=C1C2,-5.826515127664013,0.1923076923076923,7.0,0.125
CC#CC(C)(C)C_8437ac2f_topK.csv,1.8681835532601931,-3.672941765764632,CC1(C#CC(N)O)C#C1,-5.541125319024825,0.0689655172413793,5.0,0.1666666666666666
CC(=O)C#CCO_7b2872aa_topK.csv,-1.6441098267593943,-3.871809281955301,O=C(F)C#CC1=NO1,-2.227699455195907,0.2,4.0,0.2
Cc1c[nH]nn1_908ebd90_topK.csv,-0.018593277670872,-3.443760008803252,n1c2c3([nH]n1-3)O2,-3.4251667311323795,0.0967741935483871,3.0,0.25
C#CC[C@H]1CO1_2dc57a2d_topK.csv,1.3658625802357085,-3.8201288719288287,NC1(C2OO2)C#C1,-5.185991452164537,0.0714285714285714,5.0,0.1666666666666666
CC(C)OCC=O_10f12e78_topK.csv,-0.9664055099244916,-3.757127480801692,O=C1CON2C=C12,-2.7907219708772004,0.0294117647058823,9.0,0.1
CC(CO)CO_b760c17a_topK.csv,1.6612501974810414,-2.54915613821515,FC1C2=C1OO2,-4.210406335696192,0.0,10.0,0.0909090909090909
