group_id,start_value,best_opt_value,best_opt_smiles,improvement,morgan_similarity,ged,ged_similarity
CCCCCC_200999a0_topK.csv,2.4512345095751007,-3.945752443546607,CC1C2=C3C2=C31,-6.396986953121708,0.0625,9.0,0.1
COCC(N)=O_d25a5070_topK.csv,0.7842709017595154,-3.830438273085228,O=C(F)C1=NO1,-4.614709174844744,0.1153846153846153,6.0,0.1428571428571428
Oc1ncn[nH]1_bdc23b7d_topK.csv,0.6589771658052418,-4.46772651712338,ON1Oc2nc1n[nH]2,-5.126703682928621,0.1935483870967742,1.0,0.5
O=CCCCO_b05124b3_topK.csv,-0.7859107879487901,-4.95946978498445,O=CC1=C2ON12,-4.17355899703566,0.1153846153846153,7.0,0.125
CCOC(C)=O_73347ba4_topK.csv,0.3193054175333553,-2.6496718797645795,O=C1OC2=C1O2,-2.968977297297935,0.0384615384615384,7.0,0.125
COCCOC=O_cbe4ba86_topK.csv,-0.1871222732232046,-5.0956378256295904,O=CON1C2=C1O2,-4.908515552406386,0.1851851851851851,7.0,0.125
CC(=O)CC#N_b57cd834_topK.csv,-1.1630755997707471,-4.217627785157529,N#CC1=NOC1=O,-3.0545521853867816,0.1379310344827586,4.0,0.2
Nc1ncn[nH]1_2803a148_topK.csv,0.8800591218660521,-3.110158163881591,FOc1nnn[nH]1,-3.9902172857476432,0.1333333333333333,4.0,0.2
Oc1c[nH]nn1_514bacce_topK.csv,-0.1867182895116473,-4.126112263239816,FN1N2N=C3OC312,-3.939393973728168,0.0606060606060606,2.0,0.3333333333333333
CC(=O)C(C)(C)O_d23e723a_topK.csv,-0.6690160483031113,-4.555575400204258,O=C1C#CC12C=NO2,-3.886559351901147,0.0666666666666666,10.0,0.0909090909090909
NC(=O)C#CC=O_ffbd720d_topK.csv,-2.69211420349081,-3.9759777769993754,O=C1C#CC(=O)N1NO,-1.2838635735085644,0.0666666666666666,7.0,0.125
