task	variant	seed	status	search_dir	batch_json	batch_eval_csv	csv_eval_dir	search_log	eval_log	csv_eval_log
homo_down	full	42	success	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/full/seed42/search	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/full/seed42/search/batch_results.json			/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/full/seed42/search.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/full/seed42/evaluate_batch.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/full/seed42/evaluate_csv.log
homo_down	wo_prior	42	success	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/wo_prior/seed42/search	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/wo_prior/seed42/search/batch_results.json			/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/wo_prior/seed42/search.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/wo_prior/seed42/evaluate_batch.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/wo_prior/seed42/evaluate_csv.log
homo_down	wo_leaf_value	42	success	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/wo_leaf_value/seed42/search	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/wo_leaf_value/seed42/search/batch_results.json			/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/wo_leaf_value/seed42/search.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/wo_leaf_value/seed42/evaluate_batch.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/wo_leaf_value/seed42/evaluate_csv.log
homo_down	random_topb	42	success	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/random_topb/seed42/search	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/random_topb/seed42/search/batch_results.json			/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/random_topb/seed42/search.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/random_topb/seed42/evaluate_batch.log	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/random_topb/seed42/evaluate_csv.log
