task	variant	seed_count	avg_improvement_mean	avg_improvement_std	success_rate_mean	success_rate_std	avg_runtime_mean	avg_runtime_std	avg_expanded_nodes_mean	avg_expanded_nodes_std
homo_down	full	1	21.007611	0.000000	1.000000	0.000000	1.538823	0.000000	4.400000	0.000000
homo_down	random_topb	1	5.989101	0.000000	1.000000	0.000000	2.035209	0.000000	6.200000	0.000000
homo_down	wo_leaf_value	1	1.605609	0.000000	1.000000	0.000000	12.702796	0.000000	39.000000	0.000000
homo_down	wo_prior	1	21.007662	0.000000	1.000000	0.000000	1.549716	0.000000	4.400000	0.000000
