task	variant	seed	molecule_count	avg_improvement	success_rate	avg_runtime	avg_expanded_nodes	avg_best_property	search_dir
homo_down	full	42	5	21.007611	1.000000	1.538823	4.400000	-27.779981	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/full/seed42/search
homo_down	wo_prior	42	5	21.007662	1.000000	1.549716	4.400000	-27.780031	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/wo_prior/seed42/search
homo_down	wo_leaf_value	42	5	1.605609	1.000000	12.702796	39.000000	-8.377979	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/wo_leaf_value/seed42/search
homo_down	random_topb	42	5	5.989101	1.000000	2.035209	6.200000	-12.761471	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_113451/homo_down/random_topb/seed42/search
