source_csv,calculation_time,homo,lumo,gap,drug_likeness,logP,smiles,type,predicted_value,group_id,improvement
CCCC(=O)NC_81745567_topK.csv,42.778143882751465,-6.546011914928237,0.8838433341553461,7.429855249083583,0.5398542153220981,0.5325,CCCC(=O)NC,start,1.03675377368927,CCCC(=O)NC_81745567_topK.csv,
CCCC(=O)NC_81745567_topK.csv,27.61079430580139,-6.0958397177908,-3.2347784956902577,2.8610612221005423,0.43615501289591585,-0.6436000000000002,O=C1NOC2C=C12,optimized_1,-2.403200507164001,CCCC(=O)NC_81745567_topK.csv,-4.118621829845604
CCCC(=O)NC_81745567_topK.csv,25.074875593185425,-6.333708392297796,-2.019269741995484,4.3144386503023116,0.4277559464326309,-0.12440000000000001,O=C1C2=C(C2)N1O,optimized_2,-2.400857448577881,CCCC(=O)NC_81745567_topK.csv,-2.9031130761508304
C#C[C@]1(C)CO1_3a4e3e46_topK.csv,20.455771923065186,-7.085269603078407,0.6840320626103638,7.76930166568877,0.30434768984736627,0.4085,C#C[C@]1(C)CO1,start,0.7156594395637512,C#C[C@]1(C)CO1_3a4e3e46_topK.csv,
C#C[C@]1(C)CO1_3a4e3e46_topK.csv,,,,,0.3731677081020941,-0.35142,N#C[C@]12N=C1O2,optimized_1,-2.796964943408966,C#C[C@]1(C)CO1_3a4e3e46_topK.csv,
C#C[C@]1(C)CO1_3a4e3e46_topK.csv,18.07097053527832,-8.069140274753675,-1.3613930941255354,6.7077471806281395,0.32547929805218934,-0.33192000000000005,N#C[C@]1(F)NO1,optimized_2,-2.525277554988861,C#C[C@]1(C)CO1_3a4e3e46_topK.csv,-2.045425156735899
