task	variant	seed_count	avg_improvement_mean	avg_improvement_std	success_rate_mean	success_rate_std	avg_runtime_mean	avg_runtime_std	avg_expanded_nodes_mean	avg_expanded_nodes_std
lumo_up	full	1	2.163774	0.000000	1.000000	0.000000	4.474966	0.000000	7.600000	0.000000
lumo_up	random_topb	1	1.897171	0.000000	1.000000	0.000000	10.001655	0.000000	17.200000	0.000000
lumo_up	wo_leaf_value	1	2.496100	0.000000	1.000000	0.000000	21.619826	0.000000	40.800000	0.000000
lumo_up	wo_prior	1	2.124028	0.000000	1.000000	0.000000	4.079797	0.000000	6.000000	0.000000
