task	variant	seed	molecule_count	avg_improvement	success_rate	avg_runtime	avg_expanded_nodes	avg_best_property	search_dir
lumo_up	full	42	5	2.163774	1.000000	4.474966	7.600000	2.532216	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_112535/lumo_up/full/seed42/search
lumo_up	wo_prior	42	5	2.124028	1.000000	4.079797	6.000000	2.492470	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_112535/lumo_up/wo_prior/seed42/search
lumo_up	wo_leaf_value	42	5	2.496100	1.000000	21.619826	40.800000	2.864542	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_112535/lumo_up/wo_leaf_value/seed42/search
lumo_up	random_topb	42	5	1.897171	1.000000	10.001655	17.200000	2.265614	/home/ubuntu/mol_opt/mol-ofo/mol_evo/output/paper/ablations/20260413_112535/lumo_up/random_topb/seed42/search
