exploration_weight,average_improvement,improved_percentage,average_drug_likeness,intdiv_avg,morgan_similarity_avg,batch_dir,target_prop,direction,source
1.0,-1.5899,94.14,0.3879,0.5056,0.1598,batch_optimization_20260413_163029,homo,decrease,part-2
1.4,-1.5630,92.66,0.3887,0.5153,0.1649,batch_optimization_20260413_163208,homo,decrease,part-2
2.0,-1.5211,93.25,0.3888,0.5519,0.1697,batch_optimization_20260413_162834,homo,decrease,part-2
