max_branching,average_improvement,improved_percentage,average_drug_likeness,intdiv_avg,morgan_similarity_avg,batch_dir,target_prop,direction,source
8,1.5173,72.21,0.4865,0.4932,0.1299,batch_optimization_20260413_150054,lumo,increase,part-2
20,1.3681,83.13,0.4790,0.3778,0.1526,batch_optimization_20260413_140631,lumo,increase,part-2
