source_csv,error_message,calculation_time,homo,lumo,gap,drug_likeness,logP,smiles,type,predicted_value,group_id,improvement,morgan_similarity_to_start,ged_to_start,ged_similarity_to_start
CCO[C@@H](C)CO_bfca787a_topK.csv,,12.534466981887817,-6.6175729835735995,1.6566009915355435,8.274173975109143,0.5613868084500069,0.4037,CCO[C@@H](C)CO,start,-6.881759643554688,CCO[C@@H](C)CO_bfca787a_topK.csv,,1.0,0.0,1.0
CCO[C@@H](C)CO_bfca787a_topK.csv,,15.222578048706055,-6.8039214405661825,1.4168024847781688,8.220723925344352,0.46915944537041815,-0.6664000000000001,C[C@@H](CO)OCO,optimized_1,-7.632013022899629,CCO[C@@H](C)CO_bfca787a_topK.csv,-0.18634845699258307,0.631578947368421,1.0,0.5
CCO[C@@H](C)CO_bfca787a_topK.csv,,11.845107316970825,-7.525734642146322,1.1314895432822851,8.657224185428607,0.4693667204775409,-0.7593000000000001,OCO[C@@H](F)CO,optimized_2,-8.20008510351181,CCO[C@@H](C)CO_bfca787a_topK.csv,-0.9081616585727224,0.2916666666666667,2.0,0.3333333333333333
CCO[C@@H](C)CO_bfca787a_topK.csv,,12.812760591506958,-7.909082892327725,-1.5588396883942692,6.350243203933457,0.5474606147932588,0.14950000000000002,OC[C@H](F)OCOF,optimized_3,-8.59285444021225,CCO[C@@H](C)CO_bfca787a_topK.csv,-1.2915099087541257,0.25925925925925924,4.0,0.2
CCO[C@@H](C)CO_bfca787a_topK.csv,,11.994282007217407,-8.254154544297329,-1.7845165023877747,6.469638041909554,0.5120071106176736,0.5135000000000001,FOC1OC[C@H](F)O1,optimized_4,-9.417435705661774,CCO[C@@H](C)CO_bfca787a_topK.csv,-1.6365815607237293,0.0625,9.0,0.1
CCO[C@@H](C)CO_bfca787a_topK.csv,,10.088090419769287,-8.708643757052425,-2.561601562203392,6.147042194849033,0.47878710665213564,0.4026,FOC1OO[C@H](F)O1,optimized_5,-1357.0384073853493,CCO[C@@H](C)CO_bfca787a_topK.csv,-2.091070773478825,0.06451612903225806,9.0,0.1
CCO[C@@H](C)CO_bfca787a_topK.csv,,11.232406616210938,-8.450339010425237,-2.5250295909064846,5.9253094195187535,0.4763365553276384,-0.5746,O[C@H]1OOC(OF)O1,optimized_6,-968120.6634073852,CCO[C@@H](C)CO_bfca787a_topK.csv,-1.8327660268516377,0.0625,9.0,0.1
CCO[C@@H](C)CO_bfca787a_topK.csv,,14.93979787826538,-8.666114006144154,-2.560571834242201,6.105542171901952,0.3513724364761949,-1.2546,O[C@H]1OOC(O)(OF)O1,optimized_7,-4928095.913407385,CCO[C@@H](C)CO_bfca787a_topK.csv,-2.0485410225705545,0.08823529411764706,8.0,0.1111111111111111
CCO[C@@H](C)CO_bfca787a_topK.csv,,16.70067596435547,-8.462553284748896,-2.490952997791554,5.971600286957341,0.31003375393431587,-0.7573000000000001,OOC1(OF)OO[C@H](O)O1,optimized_8,-500596927.9134074,CCO[C@@H](C)CO_bfca787a_topK.csv,-1.8449803011752968,0.05405405405405406,6.0,0.14285714285714285
CCO[C@@H](C)CO_bfca787a_topK.csv,,16.70067596435547,-8.462553284748896,-2.490952997791554,5.971600286957341,0.31003375393431587,-0.7573000000000001,OOC1(OF)OO[C@H](O)O1,optimized_9,-996268639.9134072,CCO[C@@H](C)CO_bfca787a_topK.csv,-1.8449803011752968,0.05405405405405406,6.0,0.14285714285714285
